CA(degrees)	CA(radians)	Volume(lt)
199	3.474603175	0.625264491
200	3.492063492	0.624085238
201	3.50952381	0.622845259
202	3.526984127	0.621544494
203	3.544444444	0.620182884
204	3.561904762	0.618760371
205	3.579365079	0.617276896
206	3.596825397	0.615732402
207	3.614285714	0.614126836
208	3.631746032	0.612460144
209	3.649206349	0.610732277
210	3.666666667	0.608943188
211	3.684126984	0.607092836
212	3.701587302	0.605181182
213	3.719047619	0.603208194
214	3.736507937	0.601173845
215	3.753968254	0.599078113
216	3.771428571	0.596920986
217	3.788888889	0.594702458
218	3.806349206	0.592422531
219	3.823809524	0.590081216
220	3.841269841	0.587678536
221	3.858730159	0.585214522
222	3.876190476	0.582689217
223	3.893650794	0.580102678
224	3.911111111	0.577454972
225	3.928571429	0.574746183
226	3.946031746	0.571976406
227	3.963492063	0.569145754
228	3.980952381	0.566254356
229	3.998412698	0.563302357
230	4.015873016	0.56028992
231	4.033333333	0.557217228
232	4.050793651	0.554084483
233	4.068253968	0.550891908
234	4.085714286	0.547639747
235	4.103174603	0.544328266
236	4.120634921	0.540957755
237	4.138095238	0.537528528
238	4.155555556	0.534040924
239	4.173015873	0.530495307
240	4.19047619	0.526892069
241	4.207936508	0.52323163
242	4.225396825	0.519514437
243	4.242857143	0.515740966
244	4.26031746	0.511911725
245	4.277777778	0.508027252
246	4.295238095	0.504088115
247	4.312698413	0.500094918
248	4.33015873	0.496048295
249	4.347619048	0.491948915
250	4.365079365	0.487797482
251	4.382539683	0.483594734
252	4.4	0.479341446
253	4.417460317	0.475038429
254	4.434920635	0.47068653
255	4.452380952	0.466286633
256	4.46984127	0.461839663
257	4.487301587	0.45734658
258	4.504761905	0.452808383
259	4.522222222	0.448226111
260	4.53968254	0.443600841
261	4.557142857	0.438933691
262	4.574603175	0.434225816
263	4.592063492	0.429478413
264	4.60952381	0.424692718
265	4.626984127	0.419870004
266	4.644444444	0.415011587
267	4.661904762	0.410118822
268	4.679365079	0.4051931
269	4.696825397	0.400235856
270	4.714285714	0.395248558
271	4.731746032	0.390232716
272	4.749206349	0.385189877
273	4.766666667	0.380121626
274	4.784126984	0.375029582
275	4.801587302	0.369915404
276	4.819047619	0.364780782
277	4.836507937	0.359627445
278	4.853968254	0.354457153
279	4.871428571	0.3492717
280	4.888888889	0.344072912
281	4.906349206	0.338862647
282	4.923809524	0.333642791
283	4.941269841	0.328415262
284	4.958730159	0.323182002
285	4.976190476	0.317944983
286	4.993650794	0.312706202
287	5.011111111	0.307467679
288	5.028571429	0.302231458
289	5.046031746	0.296999605
290	5.063492063	0.291774203
291	5.080952381	0.286557359
292	5.098412698	0.281351193
293	5.115873016	0.276157842
294	5.133333333	0.27097946
295	5.150793651	0.265818209
296	5.168253968	0.260676266
297	5.185714286	0.255555817
298	5.203174603	0.250459055
299	5.220634921	0.24538818
300	5.238095238	0.240345397
301	5.255555556	0.235332915
302	5.273015873	0.230352942
303	5.29047619	0.225407688
304	5.307936508	0.220499362
305	5.325396825	0.215630167
306	5.342857143	0.210802304
307	5.36031746	0.206017964
308	5.377777778	0.201279333
309	5.395238095	0.196588585
310	5.412698413	0.191947882
311	5.43015873	0.187359376
312	5.447619048	0.182825199
313	5.465079365	0.178347473
314	5.482539683	0.173928296
315	5.5	0.16956975
316	5.517460317	0.165273896
317	5.534920635	0.161042771
318	5.552380952	0.15687839
319	5.56984127	0.152782739
320	5.587301587	0.148757782
321	5.604761905	0.144805451
322	5.622222222	0.14092765
323	5.63968254	0.137126251
324	5.657142857	0.133403095
325	5.674603175	0.129759989
326	5.692063492	0.126198703
327	5.70952381	0.122720974
328	5.726984127	0.1193285
329	5.744444444	0.116022942
330	5.761904762	0.112805919
331	5.779365079	0.109679011
332	5.796825397	0.106643756
333	5.814285714	0.103701649
334	5.831746032	0.100854141
335	5.849206349	0.098102639
336	5.866666667	0.095448503
337	5.884126984	0.092893048
338	5.901587302	0.090437542
339	5.919047619	0.088083201
340	5.936507937	0.085831196
341	5.953968254	0.083682647
342	5.971428571	0.081638622
343	5.988888889	0.07970014
344	6.006349206	0.077868167
345	6.023809524	0.076143617
346	6.041269841	0.07452735
347	6.058730159	0.073020173
348	6.076190476	0.07162284
349	6.093650794	0.070336049
350	6.111111111	0.069160444
351	6.128571429	0.068096613
352	6.146031746	0.067145089
353	6.163492063	0.066306347
354	6.180952381	0.065580808
355	6.198412698	0.064968835
356	6.215873016	0.064470736
357	6.233333333	0.064086759
358	6.250793651	0.063817097
359	6.268253968	0.063661885
360	6.285714286	0.063621202
361	6.303174603	0.063695067
362	6.320634921	0.063883443
363	6.338095238	0.064186236
364	6.355555556	0.064603295
365	6.373015873	0.06513441
366	6.39047619	0.065779315
367	6.407936508	0.066537687
368	6.425396825	0.067409146
369	6.442857143	0.068393255
370	6.46031746	0.069489523
371	6.477777778	0.070697399
372	6.495238095	0.072016281
373	6.512698413	0.073445508
374	6.53015873	0.074984366
375	6.547619048	0.076632086
376	6.565079365	0.078387846
377	6.582539683	0.080250769
378	6.6	0.082219927
379	6.617460317	0.084294337
380	6.634920635	0.086472968
381	6.652380952	0.088754735
382	6.66984127	0.091138505
383	6.687301587	0.093623092
384	6.704761905	0.096207266
385	6.722222222	0.098889744
386	6.73968254	0.101669199
387	6.757142857	0.104544258
388	6.774603175	0.107513499
389	6.792063492	0.110575461
390	6.80952381	0.113728633
391	6.826984127	0.116971468
392	6.844444444	0.120302373
393	6.861904762	0.123719716
394	6.879365079	0.127221826
395	6.896825397	0.130806994
396	6.914285714	0.134473474
397	6.931746032	0.138219483
398	6.949206349	0.142043205
399	6.966666667	0.14594279
400	6.984126984	0.149916357
401	7.001587302	0.153961993
402	7.019047619	0.158077756
403	7.036507937	0.162261678
404	7.053968254	0.166511762
405	7.071428571	0.170825988
406	7.088888889	0.17520231
407	7.106349206	0.179638663
408	7.123809524	0.184132959
409	7.141269841	0.188683092
410	7.158730159	0.19328694
411	7.176190476	0.197942361
412	7.193650794	0.202647203
413	7.211111111	0.2073993
414	7.228571429	0.212196473
415	7.246031746	0.217036535
416	7.263492063	0.221917292
417	7.280952381	0.226836542
418	7.298412698	0.231792081
419	7.315873016	0.236781699
420	7.333333333	0.241803186
421	7.350793651	0.246854334
422	7.368253968	0.251932935
423	7.385714286	0.257036785
424	7.403174603	0.262163685
425	7.420634921	0.267311446
426	7.438095238	0.272477882
427	7.455555556	0.277660823
428	7.473015873	0.282858107
429	7.49047619	0.288067585
430	7.507936508	0.293287126
431	7.525396825	0.298514612
432	7.542857143	0.303747945
433	7.56031746	0.308985044
434	7.577777778	0.314223851
435	7.595238095	0.319462329
436	7.612698413	0.324698463
437	7.63015873	0.329930264
438	7.647619048	0.33515577
439	7.665079365	0.340373043
440	7.682539683	0.345580176
441	7.7	0.350775291
442	7.717460317	0.355956538
443	7.734920635	0.361122102
444	7.752380952	0.366270197
445	7.76984127	0.371399073
446	7.787301587	0.376507012
447	7.804761905	0.381592332
448	7.822222222	0.386653387
449	7.83968254	0.391688567
450	7.857142857	0.396696297
451	7.874603175	0.401675043
452	7.892063492	0.406623306
453	7.90952381	0.411539626
454	7.926984127	0.416422583
455	7.944444444	0.421270794
456	7.961904762	0.426082918
457	7.979365079	0.43085765
458	7.996825397	0.435593728
459	8.014285714	0.440289927
460	8.031746032	0.444945062
461	8.049206349	0.449557989
462	8.066666667	0.454127603
463	8.084126984	0.458652836
464	8.101587302	0.463132662
465	8.119047619	0.467566093
466	8.136507937	0.471952179
467	8.153968254	0.476290007
468	8.171428571	0.480578705
469	8.188888889	0.484817434
470	8.206349206	0.489005395
471	8.223809524	0.493141823
472	8.241269841	0.497225991
473	8.258730159	0.501257205
474	8.276190476	0.505234805
475	8.293650794	0.509158167
476	8.311111111	0.513026698
477	8.328571429	0.516839837
478	8.346031746	0.520597056
479	8.363492063	0.524297856
480	8.380952381	0.52794177
481	8.398412698	0.531528358
482	8.415873016	0.535057208
483	8.433333333	0.538527938
484	8.450793651	0.54194019
485	8.468253968	0.545293632
486	8.485714286	0.548587958
487	8.503174603	0.551822885
488	8.520634921	0.554998152
489	8.538095238	0.558113523
490	8.555555556	0.561168779
491	8.573015873	0.564163726
492	8.59047619	0.567098186
493	8.607936508	0.569972002
494	8.625396825	0.572785031
495	8.642857143	0.575537152
496	8.66031746	0.578228256
497	8.677777778	0.58085825
498	8.695238095	0.583427057
499	8.712698413	0.585934612
500	8.73015873	0.588380863
501	8.747619048	0.59076577
502	8.765079365	0.593089303
503	8.782539683	0.595351445
504	8.8	0.597552187
505	8.817460317	0.599691527
506	8.834920635	0.601769476
507	8.852380952	0.603786047
508	8.86984127	0.605741265
509	8.887301587	0.607635157
510	8.904761905	0.609467758
511	8.922222222	0.611239107
512	8.93968254	0.612949248
513	8.957142857	0.614598228
514	8.974603175	0.616186097
515	8.992063492	0.617712908
516	9.00952381	0.619178718
517	9.026984127	0.620583583
518	9.044444444	0.621927561
519	9.061904762	0.623210711
520	9.079365079	0.624433093
521	9.096825397	0.625594765
522	9.114285714	0.626695787
523	9.131746032	0.627736216
524	9.149206349	0.628716109
525	9.166666667	0.629635521
526	9.184126984	0.630494505
527	9.201587302	0.631293112
528	9.219047619	0.63203139
529	9.236507937	0.632709387
530	9.253968254	0.633327144
531	9.271428571	0.633884702
532	9.288888889	0.634382098
533	9.306349206	0.634819363
534	9.323809524	0.635196529
535	9.341269841	0.635513621
536	9.358730159	0.635770659
537	9.376190476	0.635967664
538	9.393650794	0.636104647
539	9.411111111	0.636181618
540	9.428571429	0.636198584
541	9.446031746	0.636155545
542	9.463492063	0.636052497
543	9.480952381	0.635889435
544	9.498412698	0.635666346
545	9.515873016	0.635383216
546	9.533333333	0.635040023
547	9.550793651	0.634636746
548	9.568253968	0.634173356
549	9.585714286	0.633649823
550	9.603174603	0.633066112
551	9.620634921	0.632422184
552	9.638095238	0.631717999
553	9.655555556	0.630953512
554	9.673015873	0.630128676
555	9.69047619	0.629243441
556	9.707936508	0.628297755
557	9.725396825	0.627291565
558	9.742857143	0.626224814
559	9.76031746	0.625097445
560	9.777777778	0.6239094
561	9.795238095	0.62266062
562	9.812698413	0.621351046
563	9.83015873	0.619980618
564	9.847619048	0.618549279
565	9.865079365	0.617056969
566	9.882539683	0.615503633
567	9.9	0.613889216
568	9.917460317	0.612213667
569	9.934920635	0.610476935
570	9.952380952	0.608678976
571	9.96984127	0.606819747
572	9.987301587	0.604899211
573	10.0047619	0.602917337
574	10.02222222	0.600874098
575	10.03968254	0.598769474
576	10.05714286	0.596603454
577	10.07460317	0.594376032
578	10.09206349	0.592087213
579	10.10952381	0.589737008
580	10.12698413	0.587325442
581	10.14444444	0.584852547
582	10.16190476	0.58231837
583	10.17936508	0.579722966
584	10.1968254	0.577066408
585	10.21428571	0.574348778
586	10.23174603	0.571570177
587	10.24920635	0.568730718
588	10.26666667	0.565830533
589	10.28412698	0.56286977
590	10.3015873	0.559848594
591	10.31904762	0.556767191
592	10.33650794	0.553625766
593	10.35396825	0.550424545
594	10.37142857	0.547163774
595	10.38888889	0.543843725
596	10.40634921	0.540464689
597	10.42380952	0.537026985
598	10.44126984	0.533530955
599	10.45873016	0.529976968
600	10.47619048	0.526365418
601	10.49365079	0.52269673
602	10.51111111	0.518971355
603	10.52857143	0.515189774
604	10.54603175	0.5113525
605	10.56349206	0.507460073
606	10.58095238	0.503513068
607	10.5984127	0.499512092
608	10.61587302	0.495457786
609	10.63333333	0.491350822
610	10.65079365	0.48719191
611	10.66825397	0.482981793
612	10.68571429	0.478721251
613	10.7031746	0.4744111
614	10.72063492	0.470052193
615	10.73809524	0.465645421
616	10.75555556	0.461191711
617	10.77301587	0.45669203
618	10.79047619	0.452147384
619	10.80793651	0.447558817
620	10.82539683	0.442927411
621	10.84285714	0.43825429
622	10.86031746	0.433540615
623	10.87777778	0.428787588
624	10.8952381	0.42399645
625	10.91269841	0.419168483
626	10.93015873	0.414305007
627	10.94761905	0.409407381
628	10.96507937	0.404477004
629	10.98253968	0.399515314
630	11	0.394523787
631	11.01746032	0.389503939
632	11.03492063	0.38445732
633	11.05238095	0.379385521
634	11.06984127	0.374290168
635	11.08730159	0.369172923
636	11.1047619	0.364035483
637	11.12222222	0.35887958
638	11.13968254	0.35370698
639	11.15714286	0.348519482
640	11.17460317	0.343318916
641	11.19206349	0.338107144
642	11.20952381	0.332886058
643	11.22698413	0.327657577
644	11.24444444	0.32242365
645	11.26190476	0.317186252
646	11.27936508	0.311947383
647	11.2968254	0.306709066
648	11.31428571	0.301473349
649	11.33174603	0.2962423
650	11.34920635	0.291018008
651	11.36666667	0.285802578
652	11.38412698	0.280598136
653	11.4015873	0.27540682
654	11.41904762	0.270230784
655	11.43650794	0.265072195
656	11.45396825	0.25993323
657	11.47142857	0.254816076
658	11.48888889	0.249722927
659	11.50634921	0.244655984
660	11.52380952	0.239617453
661	11.54126984	0.234609542
662	11.55873016	0.229634461
663	11.57619048	0.22469442
664	11.59365079	0.219791625
665	11.61111111	0.214928281
666	11.62857143	0.210106585
667	11.64603175	0.205328731
668	11.66349206	0.200596901
669	11.68095238	0.195913268
670	11.6984127	0.191279993
671	11.71587302	0.186699224
672	11.73333333	0.182173093
673	11.75079365	0.177703717
674	11.76825397	0.173293194
675	11.78571429	0.168943601
676	11.8031746	0.164656997
677	11.82063492	0.160435415
678	11.83809524	0.156280866
679	11.85555556	0.152195335
680	11.87301587	0.148180778
681	11.89047619	0.144239124
682	11.90793651	0.140372274
683	11.92539683	0.136582095
684	11.94285714	0.132870422
685	11.96031746	0.129239058
686	11.97777778	0.125689768
687	11.9952381	0.122224283
688	12.01269841	0.118844297
689	12.03015873	0.115551463
690	12.04761905	0.112347395
691	12.06507937	0.109233668
692	12.08253968	0.106211813
693	12.1	0.103283319
694	12.11746032	0.100449631
695	12.13492063	0.097712148
696	12.15238095	0.095072225
697	12.16984127	0.09253117
698	12.18730159	0.090090242
699	12.2047619	0.087750652
700	12.22222222	0.085513564
701	12.23968254	0.083380089
702	12.25714286	0.081351289
703	12.27460317	0.079428176
704	12.29206349	0.077611707
705	12.30952381	0.075902788
706	12.32698413	0.074302273
707	12.34444444	0.072810961
708	12.36190476	0.071429598
709	12.37936508	0.070158873
710	12.3968254	0.068999422
711	12.41428571	0.067951826
712	12.43174603	0.067016609
713	12.44920635	0.066194239
714	12.46666667	0.065485128
715	12.48412698	0.064889631
716	12.5015873	0.064408047
717	12.51904762	0.064040617
718	12.53650794	0.063787525
719	12.55396825	0.063648898
